#{"batch_latencies":"/workdir/DynWork/log/azure/LenScale_0.1/translation/fsmt_wmt/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/azure/LenScale_0.1/translation/fsmt_wmt/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/azure/LenScale_0.1/translation/fsmt_wmt/2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/azure/LenScale_0.1/translation/fsmt_wmt/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":955,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,147.677,2.51676,11.3541,203.627,201.11,done,
1,226.267,149.977,177.94,459.111,309.134,done,
2,194.997,297.661,388.953,658.317,360.656,done,
3,145.406,445.319,605.566,939.35,494.031,done,
4,280.886,593.018,605.568,939.35,346.332,done,
5,129.108,740.625,802.673,1068.57,327.946,done,
6,74.5971,986.867,1068.58,1144.73,157.865,done,
7,207.816,1232.93,1232.98,1442.33,209.392,done,
8,88.4182,1478.98,1479.04,1569.01,90.0262,done,
9,119.474,1602.05,1602.11,1723.06,121.01,done,
10,107.689,1725.1,1725.14,1834.35,109.253,done,
11,152.869,1848.05,1848.12,2002.5,154.448,done,
12,200.566,1971.13,2002.51,2204.55,233.418,done,
13,123.707,2094.21,2204.56,2329.78,235.576,done,
14,143.461,2217.25,2329.79,2497.18,279.931,done,
15,165.092,2322.7,2329.8,2497.18,174.481,done,
16,330.998,2428.19,2497.18,2830.37,402.178,done,
17,401.626,2533.65,2694.77,3232.22,698.569,done,
18,151.463,2639.21,2694.77,3232.22,593.016,done,
19,345.72,2744.64,3100.06,3578.15,833.511,done,
20,207.198,2850.07,3100.06,3578.15,728.088,done,
22,256.738,3140.12,3501.9,3835.02,694.894,done,
23,167.216,3324.68,3501.9,3835.02,510.338,done,
21,151.613,2955.53,-1.63714e+12,3905.54,950.016,error,7
24,336.171,3509.38,3835.03,4174.82,665.44,done,
25,251.78,3693.9,3835.03,4174.82,480.92,done,
26,74.666,3841.55,4174.82,4407.82,566.266,done,
27,229.162,3989.21,4174.83,4407.82,418.609,done,
28,189.185,4136.8,4407.82,4726.5,589.703,done,
29,315.072,4284.52,4407.82,4726.5,441.983,done,
30,74.7679,4432.13,4726.51,4995.12,562.994,done,
31,265.572,4579.76,4726.51,4995.12,415.365,done,
32,204.748,4728.86,4995.13,5202.13,473.279,done,
33,186.16,4875.16,4995.13,5202.13,326.978,done,
34,168.073,5022.86,5202.14,5373.87,351.018,done,
35,19.4239,5170.47,5202.14,5373.87,203.406,done,
36,263.951,5355.03,5373.88,5639.37,284.338,done,
37,214.028,5539.63,5639.38,5855.46,315.829,done,
38,201.31,5724.34,5855.47,6058.29,333.947,done,
39,196.736,5908.84,6058.29,6327.71,418.875,done,
40,267.234,6056.44,6058.29,6327.71,271.272,done,
41,102.66,6204.09,6327.72,6431.94,227.858,done,
42,36.2716,6351.78,6431.95,6470.48,118.701,done,
43,57.4369,6499.43,6499.46,6558.44,59.0169,done,
44,173.55,6647.16,6647.21,6822.25,175.087,done,
45,131.08,6794.81,6822.26,6954.85,160.035,done,
46,90.5206,6942.47,6954.86,7048.2,105.73,done,
47,320.719,7090.09,7090.13,7412.35,322.258,done,
48,149.561,7237.77,7405.51,7562.09,324.32,done,
49,123.611,7385.4,7405.52,7562.09,176.693,done,
50,253.631,7533.12,7562.1,7818.01,284.889,done,
51,350.643,7680.83,7818.02,8170.19,489.361,done,
52,468.911,7828.54,8123.13,8639.29,810.748,done,
53,74.3285,7976.08,8123.13,8639.29,663.209,done,
54,107.206,8123.72,8505.07,8791.23,667.514,done,
