BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
10,469,470,9,41.501222353079356,41.55419857008383,1
11,470,471,0,54.51552073005587,56.397883954050485,1
11,470,471,1,56.397883954050485,58.2802471780451,0
11,470,471,2,58.2802471780451,60.16261040203972,0
11,470,471,3,60.16261040203972,62.044973626034334,0
11,470,471,4,62.044973626034334,63.92733685002895,0
11,470,471,5,63.92733685002895,65.80970007402357,1
11,470,471,6,65.80970007402357,67.69206329801818,0
11,470,471,7,67.69206329801818,69.5744265220128,0
11,470,471,8,69.5744265220128,71.45678974600742,0
11,470,471,9,71.45678974600742,73.33915297000203,1
12,471,473,0,31.31061549007427,34.06376941810595,1
12,471,473,1,34.06376941810595,36.81692334613763,2
12,471,473,2,36.81692334613763,39.57007727416931,0
12,471,473,3,39.57007727416931,42.323231202200986,0
12,471,473,4,42.323231202200986,45.076385130232666,0
12,471,473,5,45.076385130232666,47.829539058264345,0
12,471,473,6,47.829539058264345,50.582692986296024,0
12,471,473,7,50.582692986296024,53.3358469143277,0
12,471,473,8,53.3358469143277,56.08900084235938,0
12,471,473,9,56.08900084235938,58.84215477039106,1
13,473,474,0,45.10104564018548,47.86531502916478,1
13,473,474,1,47.86531502916478,50.629584418144084,0
13,473,474,2,50.629584418144084,53.39385380712338,0
13,473,474,3,53.39385380712338,56.15812319610268,1
13,473,474,4,56.15812319610268,58.92239258508198,0
13,473,474,5,58.92239258508198,61.68666197406128,0
13,473,474,6,61.68666197406128,64.45093136304058,0
13,473,474,7,64.45093136304058,67.21520075201988,1
13,473,474,8,67.21520075201988,69.97947014099918,0
13,473,474,9,69.97947014099918,72.74373952997848,1
14,474,492,0,25.442640610272065,30.176465129246935,6
14,474,492,1,30.176465129246935,34.910289648221806,14
14,474,492,2,34.910289648221806,39.644114167196676,10
14,474,492,3,39.644114167196676,44.37793868617155,10
14,474,492,4,44.37793868617155,49.11176320514642,11
14,474,492,5,49.11176320514642,53.84558772412129,10
14,474,492,6,53.84558772412129,58.57941224309616,6
14,474,492,7,58.57941224309616,63.31323676207103,3
14,474,492,8,63.31323676207103,68.0470612810459,1
14,474,492,9,68.0470612810459,72.78088580002077,2
15,492,493,0,30.704085259931162,36.06384168291697,1
15,492,493,1,36.06384168291697,41.423598105902784,1
15,492,493,2,41.423598105902784,46.783354528888594,0
15,492,493,3,46.783354528888594,52.143110951874405,2
15,492,493,4,52.143110951874405,57.502867374860216,1
15,492,493,5,57.502867374860216,62.86262379784603,1
15,492,493,6,62.86262379784603,68.22238022083184,1
15,492,493,7,68.22238022083184,73.58213664381765,0
15,492,493,8,73.58213664381765,78.94189306680346,0
15,492,493,9,78.94189306680346,84.30164948978927,1
16,493,499,0,30.80871579993982,36.36798146297224,8
16,493,499,1,36.36798146297224,41.92724712600466,10
16,493,499,2,41.92724712600466,47.48651278903708,2
16,493,499,3,47.48651278903708,53.0457784520695,7
16,493,499,4,53.0457784520695,58.60504411510192,2
16,493,499,5,58.60504411510192,64.16430977813434,2
16,493,499,6,64.16430977813434,69.72357544116676,0
16,493,499,7,69.72357544116676,75.28284110419918,0
16,493,499,8,75.28284110419918,80.8421067672316,0
16,493,499,9,80.8421067672316,86.40137243026402,2
17,499,500,0,23.352494179853238,25.418741869856603,1
17,499,500,1,25.418741869856603,27.48498955985997,0
17,499,500,2,27.48498955985997,29.551237249863334,1
17,499,500,3,29.551237249863334,31.6174849398667,0
17,499,500,4,31.6174849398667,33.683732629870065,0
17,499,500,5,33.683732629870065,35.74998031987343,1
17,499,500,6,35.74998031987343,37.816228009876795,0
17,499,500,7,37.816228009876795,39.88247569988016,0
17,499,500,8,39.88247569988016,41.948723389883526,0
17,499,500,9,41.948723389883526,44.01497107988689,1
18,500,502,0,40.231985169812106,46.20660553884227,2
18,500,502,1,46.20660553884227,52.18122590787243,3
18,500,502,2,52.18122590787243,58.15584627690259,0
18,500,502,3,58.15584627690259,64.13046664593276,0
18,500,502,4,64.13046664593276,70.10508701496292,0
18,500,502,5,70.10508701496292,76.07970738399307,0
18,500,502,6,76.07970738399307,82.05432775302323,0
18,500,502,7,82.05432775302323,88.0289481220534,0
18,500,502,8,88.0289481220534,94.00356849108356,0
18,500,502,9,94.00356849108356,99.97818886011372,1
19,502,512,0,23.10948483005632,28.4278366540093,3
19,502,512,1,28.4278366540093,33.74618847796228,5
19,502,512,2,33.74618847796228,39.06454030191526,7
19,502,512,3,39.06454030191526,44.38289212586824,13
19,502,512,4,44.38289212586824,49.70124394982122,6
19,502,512,5,49.70124394982122,55.0195957737742,7
19,502,512,6,55.0195957737742,60.33794759772718,2
19,502,512,7,60.33794759772718,65.65629942168016,3
19,502,512,8,65.65629942168016,70.97465124563314,0
19,502,512,9,70.97465124563314,76.29300306958612,1
