# {"debug": false, "slo_ms": 87, "pause": false, "no_nexus": false, "latencies": "/workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/latencies.csv", "image": "Chihuahua1_bvdb.jpg", "outdir": "/workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/1_x_P99/nexus", "maxb": 8, "bindir": "/tmp/build/nexus-remote", "reqs": "/workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/jobs.csv", "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 87 --maxb 8 --bindir /tmp/build/nexus-remote Chihuahua1_bvdb.jpg /workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/jobs.csv /workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/latencies.csv /workdir/DynWork/Multimodal/incoming_rate_145.45/Modal_num/two_modal/1_x_P99/nexus", "time": "Mon Feb  7 06:50:37 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/ed73ae4f89f4dfc892253a3814edefc1b0fd64b6", "git_has_uncommitted_changes": false}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,36.40747588996379,0.0,0.9351789802312852,42.593178980231286,41.658,done,
1,88.85134957594528,27.5,29.309259980916977,131.63125998091698,102.322,done,
2,44.36131263113503,54.99999999999999,57.151711985468864,253.50271198546886,196.351,done,
3,79.97604222834107,82.49999999999999,85.45016197860241,253.42916197860242,167.979,done,
4,43.95941501975435,110.0,113.8966789841652,253.6746789841652,139.778,done,
5,32.57742008466002,137.49999999999997,142.21783198416233,253.84583198416232,111.628,error,
6,74.94169297046264,164.99999999999997,170.47941099107263,407.3724109910726,236.893,done,
7,75.28389570364274,192.5,213.17667998373508,407.2846799837351,194.108,done,
8,51.0793531735544,206.25,227.67249098420143,407.52549098420144,179.853,done,
9,70.27281125530632,220.0,270.61201499402523,407.54401499402525,136.932,error,
10,70.82064898078328,233.75,285.015031978488,407.636031978488,122.621,error,
11,37.23859420383292,247.5,313.56716798245907,407.78116798245907,94.214,error,
12,37.41324181678086,261.24999999999994,198.8028479963541,407.5378479963541,208.735,done,
13,80.51274998879117,274.99999999999994,242.00461499392983,407.58961499392984,165.585,done,
14,43.30115685904062,288.74999999999994,256.3134550005197,407.93245500051967,151.619,error,
15,34.79879865722826,302.49999999999994,299.3032229989767,407.86922299897674,108.566,error,
16,47.92529202752545,316.24999999999994,327.889774993062,607.9537749930621,280.064,done,
17,87.01732398539214,329.99999999999994,342.22289998829365,608.0478999882937,265.825,done,
18,25.29825476307264,343.74999999999994,494.5932539999485,609.4432539999485,114.85,error,
19,75.62179155436371,357.49999999999994,356.55272898077965,608.1587289807796,251.606,done,
20,79.27775932084016,371.25,370.8804039806128,608.2594039806128,237.379,done,
21,33.10840729626305,385.0,385.2236089855433,608.3416089855433,223.118,done,
22,35.602703308959455,398.75,399.743685990572,608.369685990572,208.626,done,
