# {"bindir": "/tmp/build/nexus-bin", "no_nexus": false, "slo_ms": 797, "debug": false, "reqs": "/workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/jobs.bucketed.csv", "latencies": "/workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/latencies.csv", "outdir": "/workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/1_x_P99/nexus", "pause": false, "image": "Chihuahua1_bvdb.jpg", "maxb": 8, "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 797 --maxb 8 --bindir /tmp/build/nexus-bin Chihuahua1_bvdb.jpg /workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/jobs.bucketed.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/latencies.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-4/Multimodal_Real_Dataset/Azure/summarization/t5_cnn/1_x_P99/nexus", "time": "Mon Apr 18 08:24:33 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/70828a1300a1881d39f0dbfa506d0e5de92853b3", "git_has_uncommitted_changes": true}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,795.0128442861671,0.0,7.364404022693634,812.2934040226936,804.929,done,
1,794.1234126408885,269.607635255601,548.6825180053711,1627.038518005371,1078.356,done,
2,794.6048784175404,539.215270511202,818.5815070271492,1626.7725070271492,808.191,error,
3,312.6125654995632,808.8229057668029,278.30600303411484,1627.2600030341148,1348.954,done,
4,793.1243065894911,1078.430541022404,1088.834177017212,2440.124177017212,1351.29,done,
5,313.7364528634189,1348.038176278005,1629.9124360084534,2440.1424360084534,810.23,error,
6,313.8641125137507,1617.645811533606,2441.0520250201225,3252.1900250201224,811.138,error,
7,791.655182820902,1887.253446789207,1359.4866920113564,2440.2296920113563,1080.743,done,
8,790.0909342681649,2156.861082044808,1900.1883300542831,3252.3763300542832,1352.188,done,
9,314.1990751778519,2426.468717300409,2170.4745500683784,3252.4645500683782,1081.99,done,
10,791.8406182117552,2696.07635255601,2712.499751985073,4064.681751985073,1352.182,done,
11,313.87755784254165,3033.0858966255114,3050.894357025624,4064.999357025624,1014.105,done,
12,313.35962711193537,3370.0954406950127,3389.547142982483,4386.838142982483,997.291,done,
13,313.7466041345904,3707.1049847645136,3727.8987840414047,4387.057784041404,659.159,done,
14,313.93853904561774,4044.114528834015,4065.924181997776,4701.019181997776,635.095,done,
15,792.4801182360429,4381.124072903516,4404.120917022228,5493.516917022228,1089.396,done,
16,795.1107744432762,4718.1336169730175,4741.702018022537,6329.476018022537,1587.774,done,
17,791.2781798476547,5055.143161042519,5080.112535059452,6329.647535059452,1249.535,done,
18,313.10178031809073,5392.15270511202,5418.555387973785,6330.199387973786,911.644,done,
19,313.9563045565289,5616.825734491687,6095.659463047981,7166.423463047981,1070.764,done,
20,794.6291529864513,5841.498763871356,6320.921089053154,7165.895089053154,844.974,error,
21,796.1567777474642,6066.171793251023,5644.443813025951,7167.1898130259515,1522.746,done,
22,793.6827540499605,6290.84482263069,5869.628731012344,7166.845731012345,1297.217,done,
23,794.3850455997507,6515.517852010357,6546.705296993256,8001.4682969932555,1454.763,done,
24,313.8078350628065,6740.1908813900245,6772.538183987141,8001.636183987141,1229.098,done,
25,312.43718020811247,6964.863910769693,6998.501814007759,8001.698814007759,1003.197,done,
26,313.70398258106206,7189.53694014936,7223.496565997601,8856.5375659976,1633.041,done,
27,313.9478994180385,7414.209969529027,8305.71772801876,9195.49172801876,889.774,done,
28,314.36067298754074,7638.882998908695,7448.776412010193,8856.798412010194,1408.022,done,
29,794.6392322770777,7863.556028288362,7674.008046030998,8856.735046030999,1182.727,done,
30,313.2299875997292,8088.22905766803,7899.523449003696,8857.027449003697,957.504,done,
31,314.3015365759569,8267.967481171763,8125.4554270505905,9195.690427050591,1070.235,done,
32,313.49912078737384,8447.705904675498,8485.940329015255,9195.916329015256,709.976,done,
33,313.30930541245334,8627.444328179232,8666.138692975044,9196.342692975044,530.204,done,
34,794.1438235648197,8807.182751682965,8847.255356013775,10009.672356013774,1162.417,done,
35,793.8408296509665,8986.9211751867,9208.102495968342,10009.711495968342,801.609,error,
36,313.721772354735,9166.659598690434,9027.979237020016,10010.360237020015,982.381,done,
37,790.6235245263084,9346.398022194167,9388.40411299467,10860.70311299467,1472.299,done,
38,313.5800808696092,9526.136445697904,9568.58934700489,10860.75534700489,1292.166,done,
39,790.4050543945606,9705.874869201636,9749.742089033129,10860.989089033128,1111.247,done,
40,314.25345354481544,9885.61329270537,9929.9129550457,10860.9819550457,931.069,done,
41,792.947107761367,10065.351716209105,10109.995619058607,11736.114619058608,1626.119,done,
42,313.5852904858581,10245.090139712838,11732.919569015505,12548.232569015505,815.313,error,
43,794.3382077392376,10424.828563216572,10290.237847030165,11736.437847030165,1446.2,done,
44,313.345228180972,10604.566986720309,10470.41859805584,11736.67859805584,1266.26,done,
45,313.80194165443265,10784.30541022404,10650.637371003628,11736.859371003628,1086.222,done,
46,314.9734917044457,11083.86944939693,10830.925370037556,11737.184370037556,906.259,done,
47,792.3038910860728,11383.43348856982,11132.241942048073,12548.812942048073,1416.571,done,
48,313.70936092837866,11682.997527742711,11432.58261203766,12549.165612037661,1116.583,done,
49,313.2925453922484,11982.5615669156,12033.089174985886,13361.864174985885,1328.775,done,
50,792.7718946913308,12282.12560608849,13234.997099995611,14194.603099995611,959.606,done,
51,313.90326671086706,12581.68964526138,12333.37332201004,13362.412322010041,1029.039,done,
52,792.113621524723,12881.25368443427,14075.560237050056,15029.961237050056,954.401,done,
53,313.555618558638,13180.81772360716,12934.643041014671,14194.860041014672,1260.217,done,
54,313.48595931102943,13480.38176278005,12634.135704994202,14194.915704994202,1560.78,done,
55,794.4955274034744,13749.989398035652,13535.081269025804,15029.699269025805,1494.618,done,
56,313.8951896597632,14019.597033291251,13805.298550009727,15030.211550009728,1224.913,done,
57,792.0832203123556,14289.204668546854,14345.833283007143,15862.167283007144,1516.334,done,
58,314.0309443608487,14558.812303802457,15427.41378802061,16695.72178802061,1268.308,done,
59,313.7810096769461,14828.419939058054,14616.123036026956,15862.441036026956,1246.318,done,
60,792.9569955316164,15098.027574313655,14886.431064009666,15862.545064009666,976.114,done,
61,793.1152739318751,15367.635209569256,15157.067133009434,16695.893133009435,1538.826,done,
62,314.2424367335007,15637.242844824856,16486.0834389925,17528.6684389925,1042.585,done,
63,313.4157811166004,15906.85048008046,15697.663775026798,16696.251775026798,998.588,done,
