task_name,model_name,datset_name,mu,std,incoming_rate,rate_scale
chatbot,gpt,cornell,"[31.825167805072848, 157.60565433884028]","[0.5, 2]",23.629476042960494,0.25
chatbot,gpt,convAI,"[19.17535092215985, 139.28460002061908]","[0.5, 2]",32.5372742851921,0.25
chatbot,blenderbot,cornell,"[163.20674751186743, 242.89603482466188]","[0.5, 2]",10.203480843994678,0.25
chatbot,blenderbot,convAI,"[162.77992588293273, 238.14573617710252]","[0.5, 2]",10.242181082998272,0.25
summarization,t5,cnn,"[313.62749094259925, 793.1372151186221]","[0.5, 2]",3.709093768994902,0.25
summarization,bart,cnn,"[452.6799508690601, 1097.9264549561767]","[0.5, 2]",2.7241318807320303,0.25
translation,mbart,wmt,"[138.9996599406004, 725.7462156703696]","[0.5, 2]",5.265979185555276,0.25
translation,fsmt,wmt,"[63.40145145659335, 315.1993662700988]","[0.5, 2]",11.348360122029877,0.25
