Trace,Task,Model,Dataset,Rate_Downgrade,Length_Scale,Batch,Rate,Time_Interval,Rate_per_Interval,Trace_point,Scale_Factor
azure,chatbot,gpt,cornell,0.15,0.01,8,42.74699162094699,77.97819698965493,3.3333333333333335,300,0.005524538650614303
azure,chatbot,gpt,convAI,0.15,0.01,8,60.79268747425529,54.831156045617256,3.3333333333333335,300,0.0038846350970651892
azure,chatbot,blenderbot,cornell,0.15,0.01,8,179.95049963836587,18.523612549184936,3.333333333333333,300,0.0013123464946304495
azure,chatbot,blenderbot,convAI,0.15,0.01,8,185.8223282936785,17.93828203500521,3.3333333333333335,300,0.0012708774536189106
azure,summarization,t5,cnn,0.15,0.01,8,16.823948318389288,198.1302646828663,3.333333333333333,300,0.014036978890934738
azure,summarization,bart,cnn,0.15,0.01,8,31.182912623453362,106.89615090112716,3.3333333333333335,300,0.007573295357592356
azure,translation,mbart,wmt,0.15,0.01,8,50.62121885999088,65.84853957295515,3.333333333333333,300,0.004665186116133947
azure,translation,fsmt,wmt,0.15,0.01,8,67.72196501327835,49.220859623310716,3.3333333333333335,300,0.0034871611797014992
